;Model;Method;n;alpha;Parameter;Par Real;Mean;Median;RB;MSE
890;Model 6;Method 1;144;0.95;alpha;0.95;0.939;0.943;0.012;0.002
891;Model 6;Method 1;168;0.35;(Intercept)_nu;2;2.032;2.026;-0.016;0.024
892;Model 6;Method 1;168;0.35;t_nu;0.01;0.01;0.01;0;0
893;Model 6;Method 1;168;0.35;(Intercept)_delta;-3.5;-3.407;-3.422;0.027;0.145
894;Model 6;Method 1;168;0.35;semester2_delta;-0.25;-0.275;-0.268;-0.1;0.114
895;Model 6;Method 1;168;0.35;alpha;0.35;0.416;0.415;-0.189;0.006
896;Model 6;Method 1;168;0.5;(Intercept)_nu;2;2;1.998;0;0.021
897;Model 6;Method 1;168;0.5;t_nu;0.01;0.01;0.01;0;0
898;Model 6;Method 1;168;0.5;(Intercept)_delta;-3.5;-3.586;-3.56;-0.025;0.164
899;Model 6;Method 1;168;0.5;semester2_delta;-0.25;-0.258;-0.257;-0.032;0.093
900;Model 6;Method 1;168;0.5;alpha;0.5;0.519;0.515;-0.038;0.003
901;Model 6;Method 1;168;0.65;(Intercept)_nu;2;2.01;2.01;-0.005;0.013
902;Model 6;Method 1;168;0.65;t_nu;0.01;0.01;0.01;0;0
903;Model 6;Method 1;168;0.65;(Intercept)_delta;-3.5;-3.581;-3.561;-0.023;0.109
904;Model 6;Method 1;168;0.65;semester2_delta;-0.25;-0.253;-0.255;-0.012;0.071
905;Model 6;Method 1;168;0.65;alpha;0.65;0.661;0.662;-0.017;0.003
906;Model 6;Method 1;168;0.8;(Intercept)_nu;2;2.035;2.035;-0.018;0.011
907;Model 6;Method 1;168;0.8;t_nu;0.01;0.01;0.01;0;0
908;Model 6;Method 1;168;0.8;(Intercept)_delta;-3.5;-3.635;-3.626;-0.039;0.104
909;Model 6;Method 1;168;0.8;semester2_delta;-0.25;-0.255;-0.251;-0.02;0.049
910;Model 6;Method 1;168;0.8;alpha;0.8;0.805;0.805;-0.006;0.002
911;Model 6;Method 1;168;0.95;(Intercept)_nu;2;2.066;2.064;-0.033;0.012
912;Model 6;Method 1;168;0.95;t_nu;0.01;0.01;0.01;0;0
913;Model 6;Method 1;168;0.95;(Intercept)_delta;-3.5;-3.747;-3.734;-0.071;0.144
914;Model 6;Method 1;168;0.95;semester2_delta;-0.25;-0.262;-0.258;-0.048;0.03
915;Model 6;Method 1;168;0.95;alpha;0.95;0.939;0.942;0.012;0.002
916;Model 6;Method 2;84;0.35;(Intercept)_nu;2;1.219;1.205;0.39;0.789
917;Model 6;Method 2;84;0.35;t_nu;0.01;0.01;0.01;0;0
918;Model 6;Method 2;84;0.35;(Intercept)_delta;-3.5;-2.136;-2.068;0.39;2.112
919;Model 6;Method 2;84;0.35;semester2_delta;-0.25;-0.149;-0.15;0.404;0.141
920;Model 6;Method 2;84;0.35;alpha;0.35;0.459;0.452;-0.311;0.016
921;Model 6;Method 2;84;0.5;(Intercept)_nu;2;1.37;1.367;0.315;0.484
922;Model 6;Method 2;84;0.5;t_nu;0.01;0.01;0.01;0;0
923;Model 6;Method 2;84;0.5;(Intercept)_delta;-3.5;-2.285;-2.252;0.347;1.612
924;Model 6;Method 2;84;0.5;semester2_delta;-0.25;-0.151;-0.147;0.396;0.112
925;Model 6;Method 2;84;0.5;alpha;0.5;0.546;0.542;-0.092;0.007
926;Model 6;Method 2;84;0.65;(Intercept)_nu;2;1.61;1.615;0.195;0.193
927;Model 6;Method 2;84;0.65;t_nu;0.01;0.01;0.01;0;0
928;Model 6;Method 2;84;0.65;(Intercept)_delta;-3.5;-2.613;-2.597;0.253;0.901
929;Model 6;Method 2;84;0.65;semester2_delta;-0.25;-0.174;-0.175;0.304;0.094
930;Model 6;Method 2;84;0.65;alpha;0.65;0.678;0.678;-0.043;0.007
931;Model 6;Method 2;84;0.8;(Intercept)_nu;2;1.809;1.81;0.096;0.058
932;Model 6;Method 2;84;0.8;t_nu;0.01;0.01;0.01;0;0
933;Model 6;Method 2;84;0.8;(Intercept)_delta;-3.5;-3.028;-3.017;0.135;0.33
934;Model 6;Method 2;84;0.8;semester2_delta;-0.25;-0.217;-0.216;0.132;0.071
935;Model 6;Method 2;84;0.8;alpha;0.8;0.82;0.821;-0.025;0.005
936;Model 6;Method 2;84;0.95;(Intercept)_nu;2;1.975;1.976;0.012;0.013
937;Model 6;Method 2;84;0.95;t_nu;0.01;0.01;0.01;0;0
938;Model 6;Method 2;84;0.95;(Intercept)_delta;-3.5;-3.502;-3.486;-0.001;0.111
939;Model 6;Method 2;84;0.95;semester2_delta;-0.25;-0.244;-0.247;0.024;0.051
940;Model 6;Method 2;84;0.95;alpha;0.95;0.944;0.954;0.006;0.002
941;Model 6;Method 2;144;0.35;(Intercept)_nu;2;1.001;1.02;0.5;1.309
942;Model 6;Method 2;144;0.35;t_nu;0.01;0.008;0.008;0.2;0
943;Model 6;Method 2;144;0.35;(Intercept)_delta;-3.5;-3.382;-3.344;0.034;0.277
944;Model 6;Method 2;144;0.35;semester2_delta;-0.25;-0.152;-0.15;0.392;0.173
945;Model 6;Method 2;144;0.35;alpha;0.35;0.465;0.46;-0.329;0.014
946;Model 6;Method 2;144;0.5;(Intercept)_nu;2;1.09;1.097;0.455;0.982
947;Model 6;Method 2;144;0.5;t_nu;0.01;0.009;0.009;0.1;0
948;Model 6;Method 2;144;0.5;(Intercept)_delta;-3.5;-3.59;-3.593;-0.026;0.266
949;Model 6;Method 2;144;0.5;semester2_delta;-0.25;-0.165;-0.166;0.34;0.109
950;Model 6;Method 2;144;0.5;alpha;0.5;0.526;0.523;-0.052;0.003
951;Model 6;Method 2;144;0.65;(Intercept)_nu;2;1.571;1.58;0.215;0.212
952;Model 6;Method 2;144;0.65;t_nu;0.01;0.01;0.01;0;0
953;Model 6;Method 2;144;0.65;(Intercept)_delta;-3.5;-2.532;-2.531;0.277;1.004
954;Model 6;Method 2;144;0.65;semester2_delta;-0.25;-0.169;-0.166;0.324;0.055
955;Model 6;Method 2;144;0.65;alpha;0.65;0.665;0.665;-0.023;0.004
956;Model 6;Method 2;144;0.8;(Intercept)_nu;2;1.785;1.788;0.108;0.059
957;Model 6;Method 2;144;0.8;t_nu;0.01;0.01;0.01;0;0
958;Model 6;Method 2;144;0.8;(Intercept)_delta;-3.5;-2.949;-2.943;0.157;0.364
959;Model 6;Method 2;144;0.8;semester2_delta;-0.25;-0.206;-0.202;0.176;0.038
960;Model 6;Method 2;144;0.8;alpha;0.8;0.809;0.809;-0.011;0.003
961;Model 6;Method 2;144;0.95;(Intercept)_nu;2;1.962;1.962;0.019;0.008
962;Model 6;Method 2;144;0.95;t_nu;0.01;0.01;0.01;0;0
963;Model 6;Method 2;144;0.95;(Intercept)_delta;-3.5;-3.455;-3.447;0.013;0.068
964;Model 6;Method 2;144;0.95;semester2_delta;-0.25;-0.247;-0.246;0.012;0.03
965;Model 6;Method 2;144;0.95;alpha;0.95;0.939;0.943;0.012;0.002
966;Model 6;Method 2;168;0.35;(Intercept)_nu;2;1.075;1.16;0.462;1.195
967;Model 6;Method 2;168;0.35;t_nu;0.01;0.009;0.009;0.1;0
968;Model 6;Method 2;168;0.35;(Intercept)_delta;-3.5;-3.287;-3.061;0.061;0.438
969;Model 6;Method 2;168;0.35;semester2_delta;-0.25;-0.202;-0.224;0.192;0.133
970;Model 6;Method 2;168;0.35;alpha;0.35;0.54;0.534;-0.543;0.037
971;Model 6;Method 2;168;0.5;(Intercept)_nu;2;1.161;1.159;0.42;0.865
972;Model 6;Method 2;168;0.5;t_nu;0.01;0.011;0.011;-0.1;0
973;Model 6;Method 2;168;0.5;(Intercept)_delta;-3.5;-3.998;-4.032;-0.142;0.5
974;Model 6;Method 2;168;0.5;semester2_delta;-0.25;-0.302;-0.284;-0.208;0.175
975;Model 6;Method 2;168;0.5;alpha;0.5;0.564;0.56;-0.128;0.005
976;Model 6;Method 2;168;0.65;(Intercept)_nu;2;1.492;1.527;0.254;0.311
977;Model 6;Method 2;168;0.65;t_nu;0.01;0.01;0.01;0;0
978;Model 6;Method 2;168;0.65;(Intercept)_delta;-3.5;-4.029;-4.12;-0.151;0.535
979;Model 6;Method 2;168;0.65;semester2_delta;-0.25;-0.211;-0.206;0.156;0.064
980;Model 6;Method 2;168;0.65;alpha;0.65;0.661;0.662;-0.017;0.003
981;Model 6;Method 2;168;0.8;(Intercept)_nu;2;1.785;1.787;0.108;0.057
982;Model 6;Method 2;168;0.8;t_nu;0.01;0.01;0.01;0;0
983;Model 6;Method 2;168;0.8;(Intercept)_delta;-3.5;-2.974;-2.966;0.15;0.336
984;Model 6;Method 2;168;0.8;semester2_delta;-0.25;-0.203;-0.204;0.188;0.035
985;Model 6;Method 2;168;0.8;alpha;0.8;0.805;0.805;-0.006;0.002
986;Model 6;Method 2;168;0.95;(Intercept)_nu;2;1.956;1.956;0.022;0.008
987;Model 6;Method 2;168;0.95;t_nu;0.01;0.01;0.01;0;0
988;Model 6;Method 2;168;0.95;(Intercept)_delta;-3.5;-3.445;-3.442;0.016;0.052
989;Model 6;Method 2;168;0.95;semester2_delta;-0.25;-0.238;-0.234;0.048;0.024
990;Model 6;Method 2;168;0.95;alpha;0.95;0.939;0.942;0.012;0.002
