;Model;Method;n;alpha;Parameter;Par Real;Mean;Median;RB;MSE
199;Model 2;Method 1;84;0.8;semester2_delta;-0.25;-0.507;-0.4;-1.028;0.671
200;Model 2;Method 1;84;0.8;alpha;0.8;0.583;0.474;0.271;0.089
201;Model 2;Method 1;84;0.95;sent_nu;0.1;0.078;0.091;0.22;0.051
202;Model 2;Method 1;84;0.95;cost_nu;-0.1;-0.098;-0.107;0.02;0.039
203;Model 2;Method 1;84;0.95;(Intercept)_delta;-0.5;-3.412;-4.185;-5.824;11.842
204;Model 2;Method 1;84;0.95;semester2_delta;-0.25;-1.346;-0.82;-4.384;3.814
205;Model 2;Method 1;84;0.95;alpha;0.95;0.553;0.419;0.418;0.218
206;Model 2;Method 1;144;0.35;sent_nu;0.1;0.093;0.092;0.07;0.008
207;Model 2;Method 1;144;0.35;cost_nu;-0.1;-0.078;-0.076;0.22;0.008
208;Model 2;Method 1;144;0.35;(Intercept)_delta;-0.5;-0.719;-0.736;-0.438;0.224
209;Model 2;Method 1;144;0.35;semester2_delta;-0.25;-0.211;-0.213;0.156;0.112
210;Model 2;Method 1;144;0.35;alpha;0.35;0.452;0.448;-0.291;0.013
211;Model 2;Method 1;144;0.5;sent_nu;0.1;0.095;0.096;0.05;0.012
212;Model 2;Method 1;144;0.5;cost_nu;-0.1;-0.089;-0.088;0.11;0.012
213;Model 2;Method 1;144;0.5;(Intercept)_delta;-0.5;-0.588;-0.569;-0.176;0.139
214;Model 2;Method 1;144;0.5;semester2_delta;-0.25;-0.225;-0.228;0.1;0.106
215;Model 2;Method 1;144;0.5;alpha;0.5;0.54;0.539;-0.08;0.005
216;Model 2;Method 1;144;0.65;sent_nu;0.1;0.097;0.098;0.03;0.016
217;Model 2;Method 1;144;0.65;cost_nu;-0.1;-0.093;-0.095;0.07;0.014
218;Model 2;Method 1;144;0.65;(Intercept)_delta;-0.5;-0.522;-0.508;-0.044;0.069
219;Model 2;Method 1;144;0.65;semester2_delta;-0.25;-0.243;-0.249;0.028;0.095
220;Model 2;Method 1;144;0.65;alpha;0.65;0.668;0.669;-0.028;0.004
221;Model 2;Method 1;144;0.8;sent_nu;0.1;0.097;0.1;0.03;0.017
222;Model 2;Method 1;144;0.8;cost_nu;-0.1;-0.095;-0.094;0.05;0.014
223;Model 2;Method 1;144;0.8;(Intercept)_delta;-0.5;-0.525;-0.514;-0.05;0.034
224;Model 2;Method 1;144;0.8;semester2_delta;-0.25;-0.266;-0.264;-0.064;0.073
225;Model 2;Method 1;144;0.8;alpha;0.8;0.807;0.809;-0.009;0.002
